,Number,Days,08:00am,09:00am,10:00am,11:00am,12:00pm,01:00pm,02:00pm,03:00pm,04:00pm,05:00pm,06:00pm
0,1,Mon,MTE200,MTE200,MTE505,MTE505,MTE500,MTE500,MTE500,MTE405,MTE300,MEE500,MEE500
1,2,Tue,MTE504,MTE504,MTE504,MTE404,MTE509,MTE509,MTE509,MTE209,MTE409,MTE409,EEE309
2,3,Wed,MTE506,MTE506,MTE506,MTE406,MTE406,MTE406,MTE101,MEE401,MEE306,MEE306,MTE401
3,4,Thur,MEE502,MEE507,MTE302,MTE307,EEE107,MTE402,MTE507,MTE502,MTE502,MTE502,MTE407
4,5,Fri,MTE508,MTE508,MTE508,MTE503,MTE503,MEE203,MTE208,MTE408,MTE408,MTE408,MTE203
